model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,drop_edge_rate,drop_feat_rate,accuracy
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7250)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7260)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7240)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7380)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7340)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7260)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7410)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7340)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7410)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7260)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7310)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7330)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7270)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7320)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7400)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7210)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7230)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7340)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7320)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.7230)
